x_pos,y_pos
-419.99,-232.73
-1309.71,-855.08
-605.89,-1004.9
-998.46,-578.15
-818.6,-873.51
-878.1,-692.17
-1004.87,-99.57
-185.73,-1183.57
-451.47,-893.13
-216.94,-1085.93
-692.33,-724.04
-622.41,-724.71
-371.33,-1228.16
-780.34,-163.29
-654.67,-409.94
-1316.42,-1268.33
-1176.16,-939.52
-897.63,-260.11
-1062.52,-1364.57
-1046.07,-303.64
-1445.04,-830.35
-953.58,-778.19
-1239.2,-1055.48
-1461.76,-896.04
-840.81,-1277.94
-677.57,-1153.71
-1236.37,-792.0
-1054.3,-1189.3
-649.81,-1429.58
-229.39,-1031.78
-720.91,-1384.25
-1091.0,-416.77
-1480.1,-618.52
-1335.17,-976.87
-1328.0,-509.76
-794.88,-53.64
-1023.13,-885.39
