ID,dist,pect,cost,rec,time
0,327.547,100,136.475,264.634,36603
1,456.419,100,151.225,249.248,36603

0,404.931,100,135.977,258.464,36821
1,379.35,100,142.58,255.418,36821

0,332.407,100,127.917,259.059,36680
1,461.512,100,157.597,254.823,36680

0,358.773,100,132.337,259.088,37093
1,457.326,100,151.83,254.794,37093

0,332.407,100,127.917,259.059,36982
1,461.512,100,157.597,254.823,36982

0,312.012,100,133.089,266.171,29421
1,470.57,100,151.014,247.711,29421

0,386.163,100,137.565,261.777,29849
1,428.593,100,145.055,252.105,29849

0,532.091,100,149.803,254.832,29524
1,397.957,100,138.391,259.05,29524

0,436.887,100,147.779,262.459,29806
1,424.639,100,149.844,251.423,29806

0,356.413,100,131.514,263.262,31989
1,460.942,100,147.751,250.62,31989

0,380.078,100,137.48,258.603,32078
1,451.068,100,150.221,255.279,32078

0,421.815,100,134.988,258.613,31915
1,432.742,100,148.812,255.269,31915

0,497.159,100,140.377,261.493,31619
1,450.88,100,150.808,252.388,31619

0,379.725,100,137.891,260.612,31449
1,396.551,100,140.406,253.27,31449

0,396.063,100,131.327,261.125,32556
1,466.084,100,147.15,252.757,32556

0,466.512,100,139.364,260.654,32049
1,407.88,100,139.762,253.228,32049

0,293.548,100,129.395,263.15,32115
1,448.833,100,148.17,250.732,32115

0,377.963,100,135.29,259.651,32553
1,434.2,100,147.355,254.231,32553

0,356.413,100,131.514,263.262,32147
1,460.942,100,147.751,250.62,32147

0,388.965,100,147.508,261.665,32539
1,418.048,100,140.881,252.217,32539

0,463.886,100,138.479,255.824,32263
1,456.337,100,146.726,258.058,32263

0,377.366,100,132.899,257.287,33139
1,464.693,100,160.721,256.595,33139

0,426.469,100,142.17,255.736,33010
1,490.862,100,153.635,258.146,33010

0,366.866,100,135.812,264.431,32687
1,462.666,100,145.286,249.451,32687

0,369.734,100,138.661,261.432,30014
1,465.057,100,148.618,252.45,30014

0,519.123,100,134.398,254.28,29513
1,508.745,100,146.235,259.602,29513

0,332.165,100,127.558,263.932,29917
1,458.758,100,151.425,249.95,29917

0,635.673,100,168.596,252.989,28747
1,866.538,88.4615,202.313,218.418,28747

0,729.236,100,176.104,254.417,28686
1,831.406,84.6154,198.519,212.496,28686

0,623.855,100,167.718,249.578,28848
1,861.722,84.6154,210.231,214.891,28848

0,790.238,100,174.829,253.357,28558
1,889.09,80.7692,202.931,202.443,28558

0,628.464,100,169.741,248.671,28920
1,831.352,88.4615,204.394,224.605,28920

0,809.622,100,196.243,252.721,29037
1,793.912,84.6154,205.028,209.859,29037

0,597.303,100,167.641,253.718,28355
1,898.483,88.4615,211.387,220.517,28355

0,837.802,100,188.415,256.324,28863
1,877.965,84.6154,211.691,203.586,28863

0,700.156,100,167.385,253.557,28773
1,847.63,84.6154,212.478,207.765,28773

0,569.767,100,162.978,250.912,28710
1,820.572,88.4615,205.423,223.176,28710

0,694.108,100,176.624,259.832,28809
1,898.234,84.6154,203.615,204.098,28809

0,605.602,100,172.813,251.975,28831
1,823.309,80.7692,199.877,200.555,28831

0,664.884,100,180.988,252.978,28648
1,857.118,84.6154,200.197,206.068,28648

0,693.091,100,175.004,254.121,28941
1,786.353,88.4615,197.531,219.155,28941

0,950.659,100,206.948,259.467,28989
1,814.943,88.4615,202.52,211.354,28989

0,754.328,100,174.547,254.496,28618
1,912.177,80.7692,206.191,201.527,28618

0,815.083,100,173.049,257.498,28602
1,796.856,84.6154,204.961,203.825,28602

0,791.319,100,175.101,254.041,28478
1,869.326,84.6154,205.954,210.544,28478

0,580.445,100,168.27,249.049,28572
1,766.86,84.6154,210.004,212.274,28572

0,620.77,100,172.464,248.311,28712
1,834.485,84.6154,208.02,210.255,28712

0,1074.59,100,171.627,157.398,29266
1,1440.2,100,193.789,158.248,29266
2,1261.39,100,211.532,167.403,29266

0,867.25,100,162.7,160.665,29122
1,1184.65,100,185.53,159.238,29122
2,1401.79,100,227.488,163.145,29122

0,1164.35,100,167.815,164.335,29354
1,1066.52,100,183.456,160.277,29354
2,1313.4,100,220.875,158.436,29354

