x_pos,y_pos,p_flag,volts,weights
46025,36824,0,2.995634521497899,10
32664,-15566,1,3.112875326422891,3
57453,93506,0,2.251689556476283,10
75146,61830,1,3.8046378659316797,6
92397,60727,1,3.1799291982099,3
81545,-1778,1,4.666635456402631,9
47171,11314,1,3.315968337420567,4
72927,22313,1,4.200633407559431,7
91160,-50855,0,2.410734471230279,10
63853,70750,0,1.801102739669856,8
-60835,-4544,0,2.3090899179686,10
-59180,-20693,1,4.476093348158673,8
-18181,48132,1,3.828304105874171,6
4344,14087,0,2.937902973327069,10
-37114,10529,0,2.590423952639213,10
-25072,50643,0,2.8711825852048682,10
-68287,50274,0,1.8876207857491725,8
-20149,31237,0,1.8559053065330495,8
24580,-96260,1,3.599081388102718,5
34093,-72432,0,2.800409820044674,10
-1703,38762,0,2.1625398439221506,9
-59894,-74562,1,4.323415657043451,8
-13580,58995,1,3.375701314980353,4
-22152,-36983,0,2.9908658847707446,10
-15536,-49258,1,3.7172347570190447,5
24468,-45430,0,2.8382165022305266,10
-7620,57835,0,2.0083368044409204,9
-13171,-32553,1,3.6653978141116994,5
-25928,63270,1,3.779487054716791,6
42175,83054,0,1.9292511314334826,8
88716,-86831,1,4.325299416742903,8
55704,-86728,1,4.256886268770362,8
54467,99097,1,4.547347742947217,9
-68449,30786,1,3.1259986668469217,3
59902,-80079,0,2.401975403690303,10
49995,-62174,1,3.8290061515606446,6
-13281,22157,1,4.077249256027889,7
4751,85847,0,2.1712750757184938,9
51804,36100,1,3.629254012056788,5
10806,98218,1,4.971815054368485,10
10985,94914,1,4.280722194981508,8
76973,-67154,0,2.8996731935329856,10
-31240,13477,1,3.1707585233837383,3
17282,-84801,0,2.3860159418280245,10
-22067,15205,1,3.646143917531442,5
7351,-70343,0,2.474481605981561,10
80729,24702,1,3.007708203359991,3
4386,-8370,0,1.9856209967529084,8
67926,-25644,1,4.398000143598731,8
34476,42502,0,2.0856548759053286,9
-22390,-78508,1,3.6178917477052437,5
-33672,34304,0,1.8756158071947238,8
2256,48631,1,4.428453940040803,8
-8099,84552,1,3.75755561159925,6
47705,68520,0,2.8844480135568964,10
58007,43524,0,1.8015337229693031,8
3217,-32645,1,3.8380583089879527,6
67297,11475,1,3.2320250772263495,3
72744,-44632,1,3.577340324891003,5
48566,-6608,1,3.2931281082630477,4
32683,-85363,1,3.3760434275410596,4
-56227,64416,1,4.858451108535457,10
-12166,24457,0,2.2142365758268014,9
-84210,-5134,1,4.494460043269205,8
-61215,-20030,1,4.3167609757487355,8
62968,-85388,0,2.1834746234008042,9
58491,56956,0,2.3040279053793005,10
-24384,-48690,0,2.7210155089820587,10
-58807,-9607,0,2.5019249262987633,10
50256,82361,0,2.379360331687134,10
50943,-29788,0,2.591993492391763,10
-95926,52839,0,2.365761281007347,10
78352,31229,1,4.779069023274302,10
-2573,88565,0,2.0152367191118365,9
-21093,39630,0,2.764768429940299,10
-4308,-92532,0,2.958122326321309,10
10587,-17221,1,4.296060905122716,8
33003,26992,1,4.644679927896604,9
33135,-59118,1,4.422900530122244,8
27611,29247,0,2.7275677101218574,10
-7545,68305,0,2.453345147987103,10
22037,-27734,1,4.988288837082261,10
-87147,-8818,1,3.4118968731062127,4
5716,-27533,0,2.0057683135249618,9
-25663,63619,0,2.14502068566042,9
20071,33780,0,2.898340342280533,10
96461,-5172,0,2.3616963592880404,10
-64358,98604,1,3.049184885058011,3
-13464,-385,0,2.7673860749562125,10
-81958,25791,0,2.2123661465579225,9
-26635,-57214,0,2.9832210869541536,10
