x_pos,y_pos,p_flag,volts,weights
164.1,190.37,0,2.49686,10
187.79,191.64,1,4.61068,9
60.01,-454.29,1,3.80122,6
424.4,-226.62,1,3.17253,3
17.52,213.74,0,2.49772,10
-142.98,329.93,1,4.61068,9
-176.22,-47.79,1,3.37872,4
-16.5,-129.19,1,3.06311,3
51.66,495.34,0,2.33622,10
-165.61,239.82,0,2.84625,10
453.93,28.76,0,2.39442,10
398.04,-31.07,1,4.61068,9
-248.14,268.03,1,4.61068,9
478.07,13.07,1,4.52424,9
-288.4,-150.19,1,4.24501,7
223.4,100.77,0,2.48553,10
-111.54,-58.89,1,3.50708,5
331.56,-82.11,0,1.8194,8
-32.27,192.23,0,2.60436,10
-212.84,389.63,1,4.61068,9
101.99,-184.98,0,1.78718,8
279.29,-431.45,1,3.1398,3
-377.9,398.88,1,4.27309,8
-1.25,-156.71,0,2.26534,10
-432.41,295.4,1,2.9586,3
170.13,70.91,1,4.44851,8
-244.86,-194.38,1,4.51996,9
-316.19,496.32,0,2.14019,9
-318.12,231.44,1,3.58073,5
417.43,476.93,1,4.61068,9
-271.94,218.8,0,2.80814,10
478.51,-423.2,0,2.30294,10
-203.72,100.98,1,3.34402,4
466.24,-316.35,1,2.9647,3
-336.98,-169.13,0,1.94128,8
81.57,-298.61,1,2.95195,3
135.08,305.65,0,2.16192,9
188.24,-84.37,0,2.30762,10
111.1,-303.03,1,3.77097,6
52.78,-474.53,0,1.85719,8
-117.65,16.18,1,4.05877,7
-154.2,-32.5,0,2.15837,9
126.47,-148.69,1,3.02175,3
264.5,-229.49,1,4.13049,7
-11.81,-309.77,1,4.25921,8
-290.59,-134.28,1,4.35963,8
287.41,-133.47,0,2.39076,10
-375.33,-196.31,1,4.61068,9
210.79,-40.41,0,2.80255,10
300.13,132.24,0,2.80356,10
140.76,-394.29,1,4.61068,9
-277.78,-375.08,0,2.54296,10
-264.69,170.99,1,4.4849,8
171.07,383.21,0,1.90649,8
154.73,497.52,1,4.51795,9
-251.23,367.77,1,4.12996,7
334.04,249.06,0,2.14813,9
66.85,244.79,0,2.51351,10
103.06,374.2,0,2.67371,10
54.88,-310.43,0,2.37068,10
81.32,59.84,0,2.85378,10
84.49,182.29,1,3.81958,6
-364.83,392.67,1,4.61068,9
-390.86,434.34,0,1.7673,8
153.04,301.55,1,4.38067,8
-78.02,155.21,1,4.61068,9
-245.41,273.34,0,2.45573,10
-382.36,397.48,0,2.85231,10
-452.67,-174.13,1,4.17027,7
366.89,-388.23,1,3.99185,6
-54.99,316.73,1,4.61068,9
401.66,181.45,1,4.41495,8
139.84,305.97,0,2.86139,10
486.21,448.76,1,3.50261,5
152.36,449.14,1,3.57459,5
237.42,418.78,0,2.43898,10
-273.25,-48.29,1,4.24665,7
-278.58,-430.36,0,2.73792,10
222.29,461.97,0,2.16935,9
-120.64,-370.14,0,2.55671,10
17.94,-153.91,1,4.1039,7
-471.92,-155.48,0,1.97319,8
135.89,31.07,0,2.55107,10
329.86,-480.8,0,2.48701,10
-198.64,-356.39,0,2.84103,10
439.74,-305.92,0,2.96392,10
-244.1,66.53,0,2.56405,10
436.54,44.09,1,4.61068,9
22.93,-114.72,0,1.82408,8
492.37,202.17,0,2.48995,10
-215.18,254.1,1,3.18854,3
-53.19,-43.77,1,3.2649,4
-213.33,-428.5,1,3.65602,5
304.81,243.63,1,4.61068,9
-371.73,35.68,1,3.06392,3
488.6,182.15,0,1.95177,8
-121.73,173.16,1,3.74583,5
-171.27,104.49,0,2.20561,9
-10.46,-38.71,0,1.8318,8
-202.9,-181.29,1,3.64124,5
-362.14,-414.19,0,2.38452,10
-356.99,-389.78,0,2.47111,10
402.56,-337.53,0,2.08672,9
-218.08,-364.8,0,2.28077,10
-385.42,165.41,0,2.90632,10
122.29,215.86,1,4.61068,9
-25.21,-328.34,0,2.53636,10
-431.81,255.5,0,2.54947,10
-330.99,-423.65,0,2.23229,9
-428.92,-369.87,0,1.83519,8
174.84,405.2,1,4.61068,9
-38.84,244.72,1,3.28915,4
90.98,-449.82,0,2.23322,9
410.77,271.35,1,4.17361,7
241.34,-108.9,0,2.91912,10
273.48,494.78,1,3.06669,3
333.39,216.33,0,2.53804,10
48.6,345.79,0,2.84176,10
-56,294.72,1,3.89223,6
-437.14,-85.84,1,3.59528,5
-63.16,-110.3,1,3.88087,6
-363.97,-183.95,0,2.36525,10
119.15,130.47,1,4.09726,7
342.31,-147.41,0,2.66428,10
-327.52,328.33,1,3.45956,4
285.73,-278.77,1,4.01035,7
-130.82,483.85,1,3.35811,4
