x_pos,y_pos
386.86,-152.51
177.48,-366.56
346.72,-232.3
-347.18,226.31
415.08,77.79
53.06,406.63
409.15,131.87
-348.41,252.62
140.76,-394.29
343.8,-249.45
436.54,44.09
238.52,368.54
-375.33,-196.31
-178.25,398.81
-212.84,389.63
174.84,405.2
87.33,426.61
-253.38,-361.9
-440,64.56
-109.21,431.43
-448.1,50.57
431.23,114.42
415.4,-184.51
-455.6,20.08
71.85,-451.43
467.34,55.25
-368.01,-277.44
393.34,209.74
-464.03,-127.19
-87.41,458.4
327.41,347.65
477.34,-154.18
462,-197.31
57.59,-483.43
-424.65,252.71
-329.77,380.48
238.04,-445.32
-227.82,-449.31
467.43,240.21
467.04,68.86
-421.16,-309.42
-373.24,-357.62
271.65,-450.61
193.42,493.52
-364.83,392.67
375.02,-387.36
315.51,-421.5
-479.52,254.9
459.8,272.5
-349.14,-408.64
485.65,-255.41
367.06,-461.52
339.81,484.16
287.41,470.75
-487.5,236.21
370.51,-492
346.89,-489.84
-494.73,376.65
417.43,476.93
449.88,-477.74
-478.37,387.69
-498.41,-438.91
421.29,393.14
