x_pos,y_pos
895.48,74.1
293.56,-825.88
292.5,849.8
-630.8,624.27
300.25,-852.88
697.09,584.42
-634.81,-634.96
-913.33,-5.14
639.75,616.92
-710.44,-585.74
-680.67,612.39
-814.91,-482.48
817.3,425.6
620.1,731.18
329.05,-865.57
-563.79,780.49
467.1,829.68
851.73,140.47
-497.34,853.13
-713.42,683.4
-492.7,-836.75
314.45,-930.4
506.93,862.91
995.63,123.22
-711.69,584.06
210.01,990.93
-624.95,-751.82
650.96,-783.64
272.35,927.71
997.93,21.95
733.46,-701.39
-712.59,-755.15
210.58,997.59
897.45,-515.57
-997.92,-165.53
-852.06,-635.12
929.78,-429.33
-374.53,-979.17
-988.66,398.63
-565.91,-882.64
545.94,915.79
806.77,-735.34
-955.22,478.81
975.02,-534.41
840.67,-710.38
504.44,-963.31
776.24,-800.74
843.58,-807.97
493.83,934.7
982.75,-528.22
-968.27,554.87
900.46,689.67
-870.53,-785.95
960.62,-726.3
-985.2,-666.01
-847.83,-820.11
786.89,-890.92
793.78,648.55
962.87,-797.81
896.77,-897.25
833.91,-895.52
933.06,-821.62
-964.56,-807.94
-955.95,847.56
-897.04,973.84
962.26,964.65
622.56,-998
-947.1,810.61
984.58,-826.1
979.77,-964.91
