x_pos,y_pos,p_flag,volts,weights
1283.77,174.74,1,3.27654,4
-358.74,-321.66,0,2.55101,10
148.69,10.7,1,4.70753,9
-605.32,-133.87,0,2.75261,10
-72.79,-1308,0,1.90363,8
328.73,-1153.86,1,3.60054,5
-158.97,308.42,1,3.86075,6
-1473.8,221.61,0,2.45073,10
1488.89,-996.43,1,3.46936,4
-930.79,1052.9,1,4.7347,9
-1080.02,309.02,0,2.69103,10
-344.32,-304.8,1,3.38149,4
297.91,-218.52,1,4.46483,8
669.12,-528.76,0,2.93598,10
-68.11,-496.19,1,3.61257,5
-264.29,629.9,1,3.37816,4
573.5,-740.33,0,2.33592,10
1189.74,624.37,0,2.89975,10
180.29,-330.15,1,4.06017,7
-1388.3,657.65,0,2.97072,10
-387.99,1082.65,1,4.16883,7
-1080.06,-238.93,0,2.52376,10
1389.65,-1001.99,1,4.16505,7
-652.72,794.14,1,4.7347,9
-1384.03,-87.29,0,1.86431,8
-1123.86,1084.22,1,3.25151,4
-863.79,-698.89,1,4.7347,9
530.91,445.37,0,1.95248,8
-610.31,1240.68,0,2.09093,9
-507.48,-1483.3,0,2.54559,10
1354.02,1052.74,1,4.59599,9
147.28,-1396.59,0,2.28416,10
1043.3,-462.91,1,3.98595,6
-745.45,-169.17,1,4.62177,9
-1428.13,-514.69,0,2.73733,10
166.11,1342.89,0,1.99544,8
-647.82,-1449.64,0,2.59801,10
-727.04,-222.77,1,4.21993,7
132.37,255.51,0,1.79882,8
1045.12,1022.04,0,2.19851,9
-471.04,-734.14,0,2.01367,9
940.76,1127.08,0,2.49076,10
-1243.54,203.72,0,2.71365,10
771.08,-889.91,0,2.65181,10
1313.74,-1471.02,1,3.60067,5
363.88,1313.1,0,2.59412,10
109.26,144.51,1,4.26133,8
548.93,-242.86,0,2.86926,10
1090.52,-244.9,0,2.43969,10
199.83,-1028.31,0,1.83278,8
208.62,798.82,1,4.34914,8
663.62,-1042.76,1,4.65484,9
1110.48,-1210.07,0,2.29665,10
1154.35,990.92,0,2.08352,9
-184.47,-530.44,1,3.5092,5
