x_pos,y_pos,p_flag,volts,weights
-1085.67,-445.9,0,2.83538,10
-1008.38,1281.64,0,2.47739,10
709.64,1006.71,1,4.65834,9
134.72,0.85,0,2.47865,10
-104.82,-1138.75,1,3.62432,5
-17.84,-812.24,0,2.46729,10
902.91,-1249.29,1,3.61849,5
1334.75,1171.3,1,4.34003,8
566.57,850.79,1,4.44315,8
194.68,233.32,1,4.04163,7
-198.71,-1361.82,1,3.15342,3
1083.02,226.29,0,1.7728,8
695.37,1306.39,1,4.41178,8
677.74,343.07,1,4.77157,10
579.16,1399.44,1,3.04512,3
926.46,1432.92,1,2.9621,3
673.76,359.69,1,4.11767,7
-439.06,601.56,0,2.87893,10
62.74,-927.74,0,2.86656,10
-114.71,-930.3,1,4.77157,10
-709.16,783.4,1,3.74217,5
-1310.32,-1005.11,1,3.95488,6
893.85,-989.22,1,4.77157,10
-1026.31,252.98,0,2.2079,9
727.92,-492.6,0,2.64127,10
389.96,152.69,1,4.77157,10
423.35,-97.29,1,4.66794,9
-856.36,1339.45,0,2.88373,10
1484.7,1390.01,1,4.77157,10
-1305.27,1482.7,1,3.18256,3
604.16,-737.28,1,3.70523,5
1442.31,-757.68,0,2.78708,10
-330.85,175.79,1,3.69896,5
-833.65,931.22,0,2.65319,10
236.09,-523.77,1,3.97756,6
1117.72,466.74,0,2.26283,10
-455.78,-74.85,1,4.32078,8
-403.83,857.43,0,2.8483,10
178.66,-23.68,1,4.77157,10
813.57,-1297.52,1,4.77157,10
999.25,823.45,0,2.66802,10
-338.76,-896.56,1,4.77157,10
-205.62,-1249.04,0,2.60536,10
-571.06,251.96,1,3.24903,3
-681.39,1154.07,1,4.77157,10
-541.35,-507.81,0,2.7897,10
-614.7,717.72,1,3.37395,4
-433.51,-434.7,1,4.60358,9
86.78,664.14,0,2.8441,10
944.72,861.77,1,3.52814,5
360.16,830.09,1,3.3268,4
683.47,1219.63,1,3.77722,6
1232.46,567.59,0,2.36938,10
75.7,112.41,0,2.25645,10
1076.58,-10.59,1,3.98843,6
-1280.36,-1484.62,1,3.77439,6
151.06,-1382.13,0,1.98689,8
463.33,-290.79,0,2.83593,10
-572.45,25.81,0,2.32424,10
-131,1044.38,0,2.30532,10
907.99,-425.17,1,4.77157,10
-541.14,1037.14,0,2.70962,10
1363.59,1173.97,1,4.68145,9
-54.33,-816.68,1,4.77157,10
-1064.97,-1124.8,1,4.21645,7
1163.37,-665.04,1,4.77157,10
-1013.19,-516.05,0,2.94339,10
1178.02,-409.08,0,2.24722,9
229.56,1090.96,0,1.878,8
520.19,-1166.71,1,4.07475,7
-1474,895.55,1,4.20934,7
-994.39,-1112.52,1,4.26874,8
-345.91,449.16,1,4.77157,10
-1145.56,112.91,0,2.01453,9
5.55,-1341.6,1,4.44053,8
441.74,-722.11,1,3.24132,3
-977.69,-764.77,1,3.4356,4
-55.97,48.79,0,2.10506,9
-678.94,-801.81,1,3.84092,6
-1285.16,942.65,1,4.77157,10
-246.16,-1109.56,1,4.77157,10
-1175.76,-918.83,1,3.6597,5
905.55,-810.76,0,2.64279,10
835.14,-1173.97,1,4.14361,7
537.09,745.51,0,1.9851,8
