x_pos,y_pos
1000.6,-371.88
1014.01,521.29
900.84,661.67
615.23,896.74
-357.65,495.27
863.67,602.35
467.89,-1001.86
-915.73,677.54
-616.62,-828.88
617.17,523.28
4.48,1117.84
177.21,-1363.54
986.14,244.83
743.37,-859.65
-955.28,626.91
1174.23,411.89
-872.88,657.23
-1248.79,-116.79
-1122.68,461.1
-121.67,1294.35
-1004.23,-603.92
1168.11,-127
-89.22,1183.39
1058.84,-733.07
-809.5,-996.04
-1015.28,723.52
-1215.7,-404.51
-546.07,-1092.92
575.04,-1091.28
1146.66,-466.24
859.2,47.25
-1116.05,977.29
-1183.53,-292.43
549.81,-1272.04
285.82,1474.98
-409.6,1325.23
-1143.64,-83.48
-935.01,-998.56
727.03,-1153.62
