x_pos,y_pos,p_flag,volts,weights
-233.72,-234.44,0,1.89769,8
720.11,397.06,1,3.49979,4
-936.23,-857.69,0,1.79661,8
-751.79,192.1,1,3.11843,3
-626.77,-227.94,1,4.31838,8
508.54,625.35,0,2.0525,9
761.7,432.79,1,3.44151,4
-597.85,-994.42,0,2.34985,10
-597.61,-10.59,1,3.40466,4
-711.45,278,1,3.75982,6
-938.05,946.96,0,2.41137,10
-810.46,-817.18,1,3.24132,3
880.72,157.09,0,2.01131,9
658.23,-255.83,1,4.06,7
379.84,703.51,1,3.34959,4
-369.35,-191.63,0,2.49245,10
452.81,-273.17,0,2.69229,10
-678.19,232.7,1,4.69418,9
-623.9,-512.85,0,2.22145,9
173.7,287.75,1,4.69418,9
26.46,939.55,0,2.63628,10
-198.35,16.71,0,2.53193,10
-449.8,246.25,1,4.39702,8
-821.37,665.05,0,2.46871,10
988.75,668.66,1,2.87756,3
800.74,-98.52,1,4.58042,9
656.09,-141.57,1,3.80951,6
192.36,-963.86,0,2.55532,10
241.14,-238.1,0,2.84941,10
-425.61,673.49,1,3.87814,6
-921.24,-240.95,0,2.34377,10
630.58,-851.64,1,4.2431,7
632.58,492.1,1,4.69418,9
647.84,-453.3,0,2.35617,10
-14.74,-323.11,0,2.11311,9
-694.46,223.96,0,2.51511,10
-105.57,-272.76,0,2.50811,10
532.62,676.29,1,4.69418,9
-335.45,-8.25,0,1.97529,8
-138.61,-942.72,1,4.68012,9
547.39,-776.55,0,2.49546,10
826.37,920.65,1,4.42951,8
963.57,257.78,0,1.95953,8
-14.97,-785.06,0,2.00314,9
881.2,-308.65,0,2.0486,9
281.88,817.12,1,4.47626,8
-307.95,-918.47,1,3.46124,4
638.1,-422.83,1,4.21758,7
-808.06,29.38,1,3.99908,6
-404.27,-701.35,1,4.69418,9
450.82,836.53,0,2.38098,10
-283.78,-84.08,1,3.80273,6
104.1,-82.59,0,1.83468,8
596.57,807.13,1,4.69418,9
-647.73,5.11,0,1.7904,8
562.72,-685.73,1,4.35709,8
-125.54,639.81,0,2.31136,10
-615.07,632.34,1,4.42667,8
407.65,654.55,0,2.86732,10
891.4,-264.16,0,2.5284,10
37.97,198.72,1,3.34477,4
152.6,-619.5,1,4.01936,7
361.89,-488.62,0,2.39776,10
-178.89,-888.79,1,3.40412,4
-214.96,-787.63,0,2.9507,10
421.06,837.69,1,4.66874,9
886.75,747.84,0,1.81143,8
-341.1,-242.19,0,1.97171,8
72.07,268.13,0,2.3678,10
0.66,74.38,0,2.28927,10
791.39,-101.55,1,3.4712,4
388,-33.06,0,2.50804,10
-801.78,-123.98,1,4.15827,7
591.95,564.11,0,2.12496,9
-880.73,798.96,1,4.69418,9
343.61,-835.25,0,1.77306,8
918.82,-536.69,0,2.14254,9
797.47,-308.59,0,2.75198,10
-559.59,-414.67,1,4.69418,9
811.39,-34.55,1,4.69418,9
557.59,-562.7,1,4.69418,9
-477.29,-195.32,1,3.97085,6
-933.43,-840.73,1,4.51856,9
531.15,987.98,0,2.30959,10
-607.08,758.66,1,4.28461,8
24.36,536.01,0,2.41146,10
829.03,41.9,0,2.73774,10
354.82,-968.81,1,4.69418,9
-801.92,764.88,0,1.82946,8
603.62,-189.29,0,2.10664,9
-378.51,-968,0,2.69832,10
835.92,825.41,1,3.66822,5
121.54,421.08,0,2.40839,10
80.34,-205.82,1,3.27855,4
205.2,-856.08,1,3.11354,3
225.3,-730.96,0,2.43187,10
593.25,892.96,0,2.42396,10
-669.51,-36.91,0,2.0993,9
285.76,-297.98,0,2.83252,10
864.58,441.24,0,2.07107,9
-599.43,-797.91,1,4.12781,7
-297.53,151.43,0,1.77592,8
106.32,-984.4,0,1.96277,8
140.76,-480.96,1,4.58151,9
-120.19,-47.42,0,2.8251,10
-106.12,-561.96,1,4.59228,9
545.1,228.74,1,4.69418,9
812.83,901.8,0,2.86142,10
-625.05,965.49,1,4.05938,7
844.15,-794.16,0,2.01701,9
