x_pos,y_pos,p_flag,volts,weights
1164.29,1434.06,1,3.61321,5
-221.09,323.57,0,2.12767,9
-942.76,-812.3,1,4.34462,8
1192.97,486.7,0,2.58645,10
-472.58,437.6,1,4.18056,7
-714.62,1312.01,0,1.90487,8
333.76,-2.39,1,3.87905,6
-877.08,451.71,1,3.30477,4
535.63,-108.59,0,1.85631,8
-1101.05,-615.09,1,3.58162,5
-240.63,585.42,0,2.11172,9
-1341.38,1340.63,1,3.31274,4
-1146.59,307.85,0,2.73003,10
-1084.53,-796.09,1,4.8321,10
-489.34,250.52,1,4.8321,10
980.05,1243.6,1,3.4657,4
1192.13,1380.78,0,2.17118,9
-1118.41,511.33,1,4.8321,10
797.98,-264.52,0,2.14532,9
-10.39,-361.4,1,4.65924,9
-103.32,873.98,0,2.56466,10
-733.11,187.07,0,2.27062,10
-500.46,-845.58,1,4.66888,9
1342.25,1146.68,0,2.83663,10
-1352.37,-443.88,1,4.8321,10
30.53,276.57,1,4.41561,8
-796.49,727.91,1,4.15759,7
-218.45,-1449.07,1,3.56264,5
7.91,-1130.28,0,2.78837,10
-1127.45,240.19,1,3.44448,4
219.11,-207.31,1,3.60285,5
804.78,1114.48,0,2.97425,10
593.66,-269.01,0,2.23541,9
-727.38,-253.85,1,4.8321,10
-80.05,-660.26,0,2.65913,10
1254.8,1127.69,1,3.25263,4
-197.63,1486.53,0,2.26088,10
-687.98,-770.13,0,2.34809,10
-125.4,1202.56,0,2.95389,10
1350.82,-1178.27,1,4.09128,7
-879.02,-1210.61,1,4.02211,7
-1306.25,427.32,1,4.8321,10
-114.05,-1176.26,0,2.03295,9
484.39,26.64,0,2.97474,10
280.5,-951.98,0,2.68024,10
668.68,1213.02,0,2.22901,9
-158.74,-484.14,0,1.88363,8
-606.5,1267.38,1,4.14822,7
1303.73,239.45,0,2.35814,10
-95.78,-603.91,1,4.13086,7
-822.68,-1249.77,1,4.0166,7
-457.24,245.38,0,2.54036,10
1285.39,997.32,1,3.04393,3
446.33,-488.56,1,4.8321,10
556.58,-670.93,1,4.8321,10
982.68,-1251.5,0,2.77973,10
75.49,1078.22,0,2.90652,10
-702.74,-1367.81,0,1.89289,8
323.2,320.01,0,2.42513,10
-982.07,669.25,1,4.29078,8
395.07,-943.51,0,2.79155,10
1110.83,-1163.9,1,4.39228,8
-1104,-1078.63,1,4.48856,8
-60.08,1204.69,1,4.35766,8
-882.71,-646.45,1,4.58548,9
-430.16,812.5,0,2.05946,9
447.87,-1160.7,1,3.35176,4
667.6,627.48,0,2.34747,10
-91.68,1105.03,0,1.80468,8
-1461.72,834.61,1,4.79185,10
837.77,-474.3,1,3.36722,4
479.7,1328.04,1,4.65955,9
2.52,-1187.16,0,2.46131,10
1486.68,-1432.79,0,2.74972,10
-1347.05,-907.14,0,2.3677,10
575.19,-75.66,1,4.65413,9
495.65,-40.72,1,3.3758,4
-267.38,833.37,1,3.63277,5
585.87,-523.98,1,4.73033,9
251.12,-1467.56,0,2.09989,9
1477.44,-607.75,1,3.69288,5
206.7,719.98,1,4.39217,8
-1238.42,-205.3,0,2.57834,10
-833.53,744.14,1,3.98722,6
1480.75,-1089.01,0,1.87417,8
-525.9,395.9,0,2.73732,10
-1261.98,-1310.15,0,2.69761,10
-388.68,1132.16,1,3.5192,5
-465.26,-1174.47,1,3.9509,6
-9.03,-535.13,0,2.2254,9
-1083.26,93.45,0,1.91037,8
-89.81,549.16,0,2.97958,10
-979.06,-1408.56,1,4.74592,9
-1094.28,-188.91,1,4.8321,10
1477.04,1092.88,0,2.32167,10
-1388.99,402.06,1,4.2902,8
-226.59,4.78,0,2.4017,10
707.39,320.34,0,2.88696,10
27.17,468.86,1,4.41685,8
