x_pos,y_pos
-401.58,304.84
53.86,-398
414.99,-364.87
116.46,-364.54
-18.42,497.07
-492.98,-162.99
492.55,-46.38
-297.97,-312.82
407.92,457.42
430.09,357.99
-168.49,-306.23
-390.66,51.11
163.95,-435.23
64.25,-337.52
-396.52,477.34
-351.77,130.25
496.66,-336.64
485,-130.81
-375.45,-240.47
-372.62,271.54
-322.11,313.04
271.78,325.44
-362.96,260.95
-309.93,-210.76
-374.66,401.97
236.3,-491.42
484.59,-235.36
-499.69,243.53
-441.06,-250.62
-498.82,-220.48
227.08,-465.33
33.89,386.17
254.26,295.52
444.18,-24.82
-25.46,484.34
409.53,48.02
-459.07,289.05
-460.72,-129.07
-430.94,35.3
-429.13,204.36
170.02,-399.21
377.6,-278.31
-366.47,-443.95
-445.12,289.98
318.07,-248.25
-255.02,373.01
-165.41,-131.3
141.14,-360.37
-426.54,-218.76
389.84,432.21
-313.52,247.4
409.35,366.4
462.07,-358.25
-426.55,288.57
303.42,459.39
-494.58,275.49
-371.1,-395.83
455.96,189.45
436.08,-281.25
404.93,-453.75
334.09,499.74
268.8,-397.19
275.44,357.42
-305.02,315.43
457.08,-444.55
