x_pos,y_pos
-161.67,-24.66
-158.68,-44.73
-83.46,126.17
-7.73,-81.1
61.55,-151.65
173.4,127.54
107.72,-171.04
-155.12,82.78
-272.53,-65.26
-270.09,-58.64
-268.95,-75.61
233.54,-180.76
-161.34,226.26
-258.04,25.88
-105.82,283.04
-103.75,-289.56
-282.81,-129.67
-282.53,222.65
-251.2,-237.7
217.57,180.94
304.3,-244.3
-330.58,-154.63
60.36,-395.6
-48.77,305.14
-132.08,-387.94
207.39,346.04
422.91,96.55
-276.12,-140.87
397.01,-176.64
-418.37,-121.06
424.88,-122.27
-183.48,-373.54
-193.94,346.97
331.13,-302.61
201.33,423.7
316.16,391.72
-143.15,-484.44
-273.22,-428.86
535.62,-55.8
-336.98,-301.54
532.21,-13.07
132.5,-544.38
-203.53,494.02
421.51,-368.71
-375.57,-159.68
584.35,4.19
-502.03,-289.29
-505.93,240.29
-548.49,180.83
-553.76,-389.82
-622.4,285.54
-530.45,-364.54
34.27,-688.81
-488.71,313.75
-51.59,-664
-669.45,-182.79
-312.53,-634.71
703.94,58.5
-530.69,-489.87
-735.19,-52.24
723.09,79.07
401,635.35
459.67,531.84
