x_pos,y_pos
-457.72,-912.25
-1001.03,-236.59
-758.48,690.73
919.05,-506.16
647.05,846.3
888.11,600.51
286.13,-968.41
981.99,443.02
-924.4,404.44
-1057.82,-253.88
330.38,1021.96
-496.16,-957.52
-999.16,306.89
980.19,526.98
270.11,1004.35
-1029.43,474.01
1130.77,-87.58
364.15,1068.05
1001.37,-543.68
1135.65,73.6
63.7,1149.32
1133.49,-236.96
-247.39,1099.77
-811.5,760.28
-1016.8,555.92
75.32,1107.5
118.74,1176.08
1159.5,96.42
865.42,779.61
566.23,-1043.8
426.17,1101.55
1207.57,77.91
1191.88,-213.69
486.53,-1131.05
500.87,-1109.36
-760.48,912.97
-1157.03,302.75
