x_pos,y_pos,p_flag,volts,weights
603.97,562.52,0,2.77204,10
761.43,132.12,1,4.08022,7
126.56,113.47,1,3.9372,6
234.47,786.68,0,2.22355,9
-684.45,-538.47,1,4.77783,10
603.92,778.33,1,3.53694,5
-150.96,998.88,1,4.46767,8
-129.4,-609.24,1,3.89438,6
-56.55,57.28,1,3.96378,6
921.74,44.51,0,2.70843,10
-361.96,-529.75,1,4.42218,8
778.76,807.49,1,4.77783,10
775.35,439.12,0,1.80929,8
516.14,-647.86,0,2.66773,10
24.9,370.22,1,4.09259,7
312.49,-581.56,1,3.18632,3
321.29,654.13,1,3.73063,5
-735.5,549.03,1,4.77783,10
979.8,-963.6,0,2.92016,10
-422.38,-378.45,0,2.62606,10
-671.81,454.88,0,2.08162,9
57.23,-593.43,1,4.66048,9
984.63,164.6,1,3.87511,6
-622.67,-514.35,0,1.94705,8
-817.25,-87.16,0,2.09319,9
-726.5,-45.01,1,3.7915,6
-516.96,-64.48,0,2.15699,9
686.92,-75.44,1,4.77783,10
766.54,-790.07,1,4.77783,10
-288.68,-881.95,1,3.49933,4
-445.11,615.87,1,4.77783,10
536.84,327.3,1,4.77783,10
-690.67,832.61,1,3.4786,4
328.53,441.49,1,4.64854,9
542.4,-25.13,1,4.17398,7
493.58,398.51,1,3.75314,6
-955.63,-423.51,1,4.58112,9
615.5,351.08,0,2.42327,10
-825,499.7,0,2.65048,10
-327.19,190.26,0,2.67915,10
-423.09,-746.49,0,2.47694,10
589.18,855.49,0,2.18599,9
644.17,358.77,1,4.77783,10
204.84,274.78,0,1.99539,8
-810.67,-207.46,1,3.2849,4
-392.37,207.81,1,4.19917,7
700.21,281.88,0,2.68966,10
541.2,714.17,0,2.69615,10
-356.26,-423.96,0,2.04428,9
-585.66,490.87,1,3.32554,4
643.62,629.69,0,2.3285,10
-857.76,829.88,1,3.89032,6
-572.7,-592.66,0,2.12911,9
35.8,-507.04,0,2.83971,10
-635.27,-142.21,0,2.18096,9
880.18,-496.94,0,2.92527,10
297.72,-880.45,0,1.84844,8
-319.52,-606.79,0,2.84874,10
-879.41,-976.53,1,3.63641,5
936.88,242.08,0,2.58288,10
-580.74,928.6,0,2.10281,9
890.56,-307.62,0,1.98814,8
199.26,-63.17,1,3.76795,6
-806.65,61.63,0,1.7998,8
737.41,691.2,0,2.6787,10
-557.32,-951.92,0,1.96889,8
-555.64,558.16,1,3.8113,6
-689.43,750.06,1,3.42716,4
902.47,310.71,0,1.85637,8
-638.05,251.8,0,2.87153,10
110.13,169.41,0,2.55434,10
-403.67,-90.68,1,3.31661,4
-617.04,570.24,1,4.0663,7
212.92,942.12,1,3.7114,5
371.48,-801.14,1,4.42941,8
-46.16,-233.23,0,1.80193,8
253.86,18.29,1,3.48451,4
-127.08,-725.24,0,1.92702,8
-571.5,-215.22,0,2.45233,10
567.65,809.21,0,1.84795,8
229.8,-991.05,1,3.88858,6
-381.35,7.01,0,1.86906,8
-67.46,956.66,0,2.10455,9
731.61,-110.83,1,4.03587,7
360.52,-379.31,0,2.962,10
63.74,-457.17,1,3.76595,6
84.68,-783.53,1,4.61661,9
426.94,66.44,0,2.41332,10
217.04,989.35,0,2.44305,10
-333.35,417.53,1,4.38805,8
-281.84,-605.48,1,3.95423,6
192.49,236.45,0,2.10354,9
591.76,457.86,1,4.77783,10
993.49,222.38,1,3.37666,4
75.38,-304.98,1,3.18876,3
486.42,565.5,1,4.77783,10
-36.52,-281.01,1,4.77783,10
-570.7,-506.09,1,4.50346,9
-735.75,453.88,1,3.50227,5
-796.35,-4.99,1,3.48551,4
843.42,987.88,0,1.96224,8
11.93,328.04,1,4.77783,10
-783.11,180.4,0,2.09674,9
946.34,-811.44,1,4.77783,10
-785.61,-307.58,1,3.418,4
-601.66,517.68,1,4.64765,9
-958.76,529.63,0,2.11634,9
-626.82,-851.55,1,4.6403,9
-555.09,731.42,1,3.27547,4
-15.25,818.76,0,2.603,10
-433.42,-443.01,0,1.90027,8
-711.06,206.76,1,3.64963,5
3.97,-747.2,1,3.57776,5
43.14,517.14,1,3.7201,5
708.95,599.53,0,2.71792,10
-134.41,-713.03,1,4.77783,10
-291.49,-863.59,0,2.1467,9
-929.44,-678.47,0,2.1033,9
851.24,503.63,1,4.6403,9
95.38,397.67,0,2.8761,10
-299.77,353.47,1,4.06737,7
-486.28,-825.75,1,4.77783,10
-350.52,439.17,1,3.86568,6
710.54,-273.38,1,3.94969,6
926.29,-687.92,1,4.77783,10
-316.03,108.84,0,2.54701,10
521.74,135.32,0,2.8302,10
687.13,691.52,1,4.36724,8
791.17,719.67,0,2.13024,9
762.48,-983.71,1,4.54132,9
498.11,-21.15,0,2.09355,9
-328.97,623.86,1,4.32116,8
343.21,820.33,0,2.37585,10
-890.8,-365.37,1,3.53002,5
171.19,469.49,0,1.93558,8
819.14,-436.1,1,4.74513,9
-578.93,967.19,1,4.36909,8
-941.96,-591.26,0,2.19246,9
-895.22,509.93,1,4.30458,8
365.34,-804.56,1,3.475,4
-255.49,447.06,1,4.65421,9
-617.49,-800.23,1,4.77783,10
-939.05,-147.8,1,3.21961,3
-677.25,653.93,1,4.77783,10
72.73,-967.49,0,1.99647,8
464.36,-661.81,1,4.77783,10
955.76,122.98,1,3.71499,5
348.09,-513.4,1,4.2634,8
866.01,566.57,1,3.5384,5
78.6,411.13,0,1.88251,8
-474.22,549.93,0,1.95119,8
-445.76,603.22,1,4.72829,9
918.66,501.47,0,1.89999,8
-356.66,120.46,1,3.45618,4
631.68,126.39,0,2.73679,10
175.92,-496.25,1,3.41553,4
-24.85,-45.01,1,4.00683,7
63.76,-858.55,1,4.77783,10
-753.51,359.94,0,2.06405,9
813.57,644.94,1,4.07521,7
190.89,-456.42,1,3.49075,4
239.1,595.59,0,2.54335,10
-842.61,-816.74,1,4.72547,9
-413.16,763.79,0,1.81791,8
984.09,-86.4,1,4.68195,9
127.31,-13.87,1,3.28388,4
183.81,462.32,0,2.59496,10
519.29,-917.15,1,3.85916,6
429.49,-309.13,0,2.12334,9
295.2,97.82,1,4.36837,8
133.99,-713.01,1,4.63972,9
129.49,616.2,0,1.77425,8
389.49,-87.81,1,4.5123,9
560.25,-933.08,1,4.67325,9
-580.57,92.17,1,4.77783,10
-756.85,777.25,0,1.81237,8
-778.7,67.5,1,4.77783,10
-365.77,-455.03,1,3.37463,4
822.63,-121.48,1,3.94387,6
676.75,27.38,1,4.77783,10
423.91,810.75,0,2.72723,10
191.36,51.04,0,2.68549,10
152,884,1,4.13776,7
86.11,650.68,1,3.96387,6
-541.53,-450.94,0,2.35695,10
820.16,-267.46,1,4.77783,10
-548.91,81.52,0,2.9787,10
919.19,981.74,1,3.90599,6
730.21,-438.43,0,2.66688,10
-599.58,-984.25,0,2.21312,9
517.16,-920.53,1,4.47334,8
155.21,197.5,0,2.54823,10
450.47,-67.37,0,2.91262,10
790.97,-979.3,0,2.365,10
351.95,-991.57,1,4.30156,8
-979.49,340.09,1,3.28294,4
427.17,365.03,0,2.48184,10
956.86,608.15,0,2.02288,9
-567.45,603.32,1,4.46469,8
584.72,-418.95,1,4.2336,7
-612.31,-887.15,0,2.72886,10
878.53,209.87,0,2.30271,10
431.63,943.64,1,4.31316,8
88.78,55.72,1,3.376,4
873.76,514.18,1,4.60662,9
-517.65,-250.73,0,2.59602,10
244.89,298.73,0,2.03787,9
278.1,778.31,1,4.39107,8
226.66,-644.36,0,2.09489,9
-264.02,-109.47,0,2.96627,10
