x_pos,y_pos,p_flag,volts,weights
-81250,-17179,1,3.2224715986536197,3
43215,-17234,1,4.845217841057819,10
34990,95773,1,4.836833408791434,10
97602,10525,1,3.6396166718731635,5
56764,71988,1,4.19415796941901,7
86126,91128,0,2.1763999116372403,9
-61246,-78823,0,2.4948732677189285,10
-73549,-71773,1,3.3025928643113125,4
55370,-58628,1,3.782314108761301,6
10155,44032,1,3.6965717113816217,5
-32901,57794,0,1.9359797907798673,8
-48541,-22790,0,2.15293403142215,9
2840,-3054,0,2.573374718486637,10
9005,-95707,0,2.9435076612339075,10
-28746,-80531,1,3.221469390405547,3
-67804,-54632,1,3.0983099429284904,3
37169,48052,1,4.075063734499753,7
-25668,-29731,1,4.438124039017088,8
4336,-57091,0,2.3544488506634793,10
51576,-85653,1,4.970768332708857,10
-81205,-26103,0,2.2437242669051307,9
-37372,34136,1,3.108525220446621,3
19027,75654,0,2.1566137008888546,9
-10819,29073,1,4.555162875384568,9
-50791,-63995,1,4.194315045247048,7
57742,-78049,1,4.798611510127552,10
-79212,52250,0,2.0264187929067217,9
-16479,-86607,0,2.464217737966911,10
90380,-33288,1,4.363468592443832,8
-31708,53398,1,3.367096018581224,4
29612,-49253,1,3.7006861038934216,5
52039,16333,0,2.7930815767698483,10
43530,9648,1,4.925279533394482,10
40533,-55126,0,1.9331657201491723,8
77864,20075,1,3.6623592804827445,5
15130,-36373,1,4.263155396995118,8
-38134,39973,1,3.9734724592358477,6
47677,24501,0,2.6710654878477054,10
-71641,2406,1,3.5313589913922767,5
7490,33225,1,3.0661194586583482,3
-8251,71408,1,4.833302840977018,10
26005,-130,0,2.9656295351070745,10
-27832,90774,0,2.621779292588351,10
65251,66902,0,1.891741971601685,8
-20132,-6024,1,4.223280410068661,7
28931,94113,1,3.2374566305429644,3
3857,3986,0,2.9150790552548447,10
32077,-76027,1,3.7080489793592064,5
9198,13862,0,2.5240031513469727,10
-82218,-48461,0,2.268592185757164,10
10432,-36366,1,4.6259156358048585,9
-45265,-18526,0,2.5544257048762073,10
-2165,36158,0,2.986997800826714,10
-76248,49245,0,2.7701407517987113,10
-67473,-61970,1,3.8742842899515564,6
89139,-49442,1,4.073369808899375,7
-30261,-86297,0,2.639358371123674,10
-98958,37062,1,3.625561566754193,5
10860,95821,0,2.4375259615504032,10
-99387,-47461,0,1.8125500469043367,8
65487,3566,0,2.230887049282754,9
-6559,-8251,0,2.1735643788455548,9
33086,83957,1,4.469947429025272,8
-96405,96735,0,2.388148457158123,10
84331,-94448,0,2.750448572043,10
-41711,38851,1,4.649493495110621,9
37399,54167,1,3.3055312240724373,4
-90615,-17781,0,2.3571261571757325,10
-63361,79604,0,2.0766792419969162,9
86776,10055,1,3.7292095069288225,5
-12703,-28394,0,2.178865575050552,9
-64945,47996,0,2.8490332237722136,10
94296,-2081,0,2.0338392692464144,9
95591,19193,0,2.219305155707871,9
-79282,-54366,0,2.966636010893193,10
78872,-24807,0,2.4703667143040198,10
97615,-11648,1,4.973988968662795,10
-41437,53658,1,4.733342963178476,9
-8264,-31029,0,2.383139366839491,10
-25609,-65296,1,4.514948852909022,9
-51963,46340,1,3.523727573280963,5
32533,62979,0,2.386785800782275,10
-66850,-44844,0,1.9149568878360788,8
-88620,-92361,1,4.345342022589418,8
47892,-22995,1,3.2858604701044136,4
-19775,-88122,1,3.2004933465088197,3
17420,4142,0,2.7423543632638174,10
-45301,21722,1,4.597161263242937,9
56046,-50278,1,4.7725960548794895,10
-69086,-11769,0,1.9352905322946097,8
-69543,-33453,1,3.2835419869168936,4
-89758,-84391,0,2.4777464102554947,10
-86340,23091,1,3.946406628090373,6
-82520,70578,0,2.1431922192783084,9
-42085,-85099,0,2.6340177670549934,10
66791,-14633,1,3.2434334434360697,3
-47519,21258,0,2.437516242366298,10
-15340,-89407,0,2.9048815529143464,10
19575,43971,0,2.4675534811310524,10
94054,19146,1,3.8918512584030234,6
74310,-49613,1,3.3791941557531864,4
-14866,-90543,1,4.127877632527233,7
-40318,-53921,1,3.6139150014454993,5
-92983,-31701,1,4.068444810073508,7
75942,-77420,1,3.1450995725341717,3
57597,-26456,1,3.76833963997773,6
