x_pos,y_pos
1296.61,-1291.8
683.16,-1493.52
983.76,-1486.91
409.55,-1046.09
-88.49,-421.5
751.86,-878.69
1019.0,-351.56
572.9,-126.05
311.68,-1044.97
678.13,-576.88
1294.29,-141.11
1367.88,-212.14
225.61,-1134.11
1037.51,-399.11
695.44,-810.68
366.33,-329.22
9.0,-75.43
1498.4,-364.01
576.5,-586.24
47.46,-829.5
1255.73,-510.1
711.14,-1419.23
812.48,-773.59
426.8,-1454.5
478.0,-367.72
765.2,-851.31
500.07,-1255.59
1475.77,-440.12
607.1,-925.91
-76.28,-1327.44
474.15,-1271.54
520.26,-1475.09
99.45,-861.81
274.72,-1288.5
1297.09,-647.95
545.57,-1351.5
